8151,Year Book Medical Publishers
8152,Apollo Editions
8153,Garland Publishing
8154,Cooper Square Press
8155,Noyes Data Corporation
8156,Syracuse University Press
8157,Brookings InstitutionPress
8160,Facts on File
8161,G. K. Hall
8162,Holden-Day
8164,Seabury Press
8165,University of Arizona Press
8166,University of Minnesota Press
8169,American Institute of Chemical Engineers
8170,Judson Press
8173,University of Alabama Press
8174,Amphoto
8176,Birkhäuser Verlag
8179,Hoover Institution Press
8180,Horizon Press
8184,L. Stuart
8185,Brooks/Cole Publishing
8186,IEEE Computer Society Press
8189,Alba House
8190,Fides/Claretian
8191,University Press of America
8192,Morehouse Publishing
8194,SPIEOptical Engineering Press
8195,Wesleyan University Press
8196,Biblo and Tannen
8197,Bloch Publishing
8198,Pauline Books & Media
8199,Franciscan Herald Press
8201,Scholars' Facsimiles & Reprints
8203,University of Georgia Press
8204,P. Lang
8205,LexisNexis
8206,Chemical Publishing
8207,Duquesne University Press
8211,McCutchan Publishing
8212,New York Graphic Society, Bulfinch Press
8213,World Bank
8214,Ohio University Press
8216,Carol Communications
8218,American Mathematical Society
8220,Cliffs Notes
8221,Dickenson Publishing
8222,Dramatists Play Service
8223,Duke University Press
8224,Fearon Publishers
8225,Lerner Publications
8226,Littlefield, Adams
8229,University of Pittsburgh Press
8230,Watson-Guptill Publications, Billboard Books (also 0-8231 and 0-89820), Back Stage Books
8231,Billboard Books
8232,Fordham University Press
8234,Holiday House
8236,International Universities Press
8240,Garland Publishing
8242,H. W. Wilson Company
8243,Annual Reviews Inc.
8245,Crossroad Publishing
8246,Jonathan David Publishers
8247,Marcel Dekker
8248,University Press of Hawaii
8249,Ideals Publications
8253,Beaufort Books
8254,Kregel Publications
8256,Oak Publications
8258,Carl Fischer Music
8260,Ronald Press
8261,Springer Publishing
8262,University of Missouri Press
8263,University of New Mexico Press
8264,Continuum
8265,Vanderbilt University Press
8266,Kehot Publication Society
8267,United Bible Societies
8269,American Technical Society
8270,Organization of American States: General Secretariat
8272,Chalice Press
8273,Delmar Publishers
8276,Jewish Publication Society of America
8278,Richard Pflaum Verlag
8281,American Heritage Publ.
8283,Branden Press
8285,Mir Publishers
8289,S. Greene Press
8290,Irvington Publishers
8294,Loyola University Press
8295,Press ofCase Western Reserve University
8298,Pilgrim Press
8299,West Publishing
8302,Goodyear Publishing
8303,Fleet Press
8304,Nelson-Hall
8306,Tab Books
8307,Regal Books
8308,Inter-Varsity Press
8309,Herald Publishing
8310,Howell-North Books
8311,Industrial Press
8314,Science and Behavior Books
8315,R. Speller
8317,Mayflower Books
8323,Binfords & Mort
8329,WBusiness Books
8330,RANDCorporation
8337,Burt Franklin
8341,Beacon Hill Press of Kansas City
8342,Aspen Publishers
8343,Funk & Wagnalls
8348,John Weatherhill
8351,Foreign Languages Press(China)
8352,Bowker Publishing
8356,Theosophical Publishing House
8357,University Microfilms International(UMI)
8359,Reston Publishing,Intel Corporation
8361,Herald Press
8362,Andrews and McMeel
8364,South Asia Books
8368,Gareth Stevens
8369,Books for Libraries Press
8371,Greenwood Press
8376,Robert Bentley
8377,Fred B. Rothman
8379,Marquis Who's Who
8383,Haskell House Publishers
8384,Heinle & Heinle
8385,Appleton & Lange
8386,Fairleigh Dickinson University Press
8387,Bucknell UniversityPress
8388,Educators Publishing Service
8389,American Library Association
8390,Allanheld & Schram
8391,University Park Press
8396,C. A. Jones Publishing
8398,Gregg Press
8401,H. R. Allenson
8402,Nash Publishing
8403,Kendall/Hunt Publishing
8405,Presses de l'Université de Montréal
8407,Thomas Nelson Publishers
8408,Carrollton Press
8410,Markham Publishing
8412,American Chemical Society
8414,Folcroft Library Editions
8415,Saturday Review Press
8419,Africana Publishing
8420,Scholarly Resources
8422,MSS Information Corp.
8423,Tyndale HousePublishers
8425,Brigham Young University Press
8428,Cambridge Book Company
8434,McGrath Publishing
8436,CBI Publishing (Cahners) (US)
8442,National Textbook Company
8444,Library of Congress
8446,Peter Smith
8447,American Enterprise Institutefor Public Policy Research
8448,Crane, Russak
8450,Broude Brothers
8451,Alan R. Liss
8453,Cornwall Books
8456,Sadtler Research Laboratories
8457,Yale University:Beinecke Rare Book and Manuscript Library
8459,Williams Publishing House
8462,Russell & Russell
8464,Beekman Publications
8465,Benjamin CummingsPublishing
8467,Paddington Press
8476,Rowman & Littlefield
8477,Editorial de laUniversidad de Puerto Rico
8478,A. Rizzoli
8482,Norwood Editions
8490,Gordon Press
8492,R. West
8493,CRC Press
8497,Pallma Music
8499,Word Books
8528,WordTruth Press
8604,Monster House Press
85010,Haynes Publishing Group
85036,Merlin Press
85039,Geographers' A-Z Map Company
85045,Osprey Publishing
85052,Leo Cooper
85054,Alan Godfrey Maps
85059,Patrick Stephens
85105,Dolmen Press / Colin Smythe Ltd
85112,Enfield
85115,Boydell Press/Adam Books
85130,Air Britain (Historians) Ltd.
85153,Bradford Barton
85170,BFIPublishing
85174,Brown, Son & Ferguson
85177,Conway Maritime Press
85244,Gracewing
85296,Institution of Electrical Engineers
85303,Vallentine Mitchell
85329,London Transport
85331,Lund Humphries
85334,Applied Science Publishers
85361,Oakwood Press
85364,William B. Eerdmans Publishing
85368,Arms and Armour Press
85369,Pharmaceutical Press
85372,Pitkin Pictorials
85423,Selden Society
85431,Society of Antiquaries of London
85490,Wildy, Simmonds and Hill Publishing
85496,Wolff
85527,Harvester Press
85575,Australian Institute of Aboriginal Studies
85617,White Lion Publishers Limited
85670,Vendome Press
85683,Shepheard-Walwyn
85696,Haynes Publishing Group
85724,Emerald Group Publishing
85794,Silver Link Publishing
85905,Hesperian Press
85924,Dove Communications
85934,Bernard Babani (Publishing) Ltd
85965,Plexus, US
85983,Frank Graham
86000,Usborne Publishing Ltd.
86001,Babylon Books
86023,Barracuda Books
86055,Archaeological Service, Suffolk County Council
86068,Virago
